dataset,loss_function,loss,regularization,similarity_loss,dice_overlap,accuracy,jacobian_determinant_mean,jacobian_determinant_negative,jacobian_determinant_var,jacobian_determinant_log_var,dice_overlap_per_class
brain-mri,l2,0.005812769755721092,0.02441001869738102,0.0038599681574851274,0.6662418246269226,0.9342297315597534,0.9768648743629456,0.0042231022380292416,0.19193591177463531,0.21202361583709717,0.6662417650222778
brain-mri,ncc2,0.7759820818901062,0.034030549228191376,0.7419514656066895,0.657407820224762,0.9361035227775574,0.9666470289230347,0.009254992939531803,0.225586399435997,0.28671690821647644,0.657407820224762
brain-mri,ncc2+supervised,0.8045275807380676,0.020513072609901428,0.7635014653205872,0.6678109765052795,0.9336972832679749,0.9810258746147156,0.002817240310832858,0.11309083551168442,0.15586334466934204,0.6678109765052795
brain-mri,nmi,-1.256753921508789,0.020474238321185112,-1.297702431678772,0.6649039387702942,0.9344961047172546,0.9859089255332947,0.0024194447323679924,0.1188189685344696,0.1643274575471878,0.664903998374939
brain-mri,mind,0.020008688792586327,0.03040044754743576,0.012408575043082237,0.6565796732902527,0.9328463673591614,0.9785383939743042,0.007710158824920654,0.19111333787441254,0.2472478151321411,0.6565796136856079
brain-mri,deepsim-ae,0.044227831065654755,0.018228547647595406,0.025999287143349648,0.6708124876022339,0.9317048192024231,0.9858023524284363,0.002006303984671831,0.12759241461753845,0.1399133950471878,0.6708124279975891
brain-mri,deepsim,0.08694349974393845,0.0152976606041193,0.056348174810409546,0.6754133105278015,0.9304683208465576,0.9850894808769226,0.0012403035070747137,0.09180985391139984,0.11915548890829086,0.6754133105278015
platelet-em,l2,0.006818400230258703,0.06337113678455353,0.005550977308303118,0.8934549689292908,0.9405755400657654,0.9761294722557068,0.0040491786785423756,0.23157046735286713,0.29195305705070496,0.8934550881385803
platelet-em,ncc2,0.6408923864364624,0.2054724097251892,0.5381561517715454,0.8753864169120789,0.9291039109230042,0.9086355566978455,0.041529327630996704,0.5426332950592041,1.0827984809875488,0.8753864169120789
platelet-em,ncc2+supervised,0.6862383484840393,0.2026578038930893,0.5849093794822693,0.8878635764122009,0.9376220703125,0.9098460674285889,0.04031578078866005,0.5380539894104004,1.07884681224823,0.8878636956214905
platelet-em,nmi,-1.1934987306594849,0.011551732197403908,-1.2050504684448242,0.8891844153404236,0.9387122988700867,0.9931310415267944,6.550457328557968e-06,0.03345634043216705,0.03272084891796112,0.8891843557357788
platelet-em,mind,0.0665719136595726,0.09347166866064072,0.05488795414566994,0.879635214805603,0.9323891997337341,0.9747854471206665,0.008628945797681808,0.3537273705005646,0.5056429505348206,0.8796350955963135
platelet-em,deepsim-ae,0.1386084109544754,0.033885203301906586,0.10472319275140762,0.8950067162513733,0.9417741298675537,0.983153760433197,0.0003953058330807835,0.09646285325288773,0.11671924591064453,0.8950067162513733
platelet-em,deepsim,0.19951462745666504,0.04505128413438797,0.15446335077285767,0.8947399258613586,0.9419559240341187,0.9806260466575623,0.001443378976546228,0.13034456968307495,0.18838056921958923,0.8947399258613586
phc-u373,l2,0.0002169518411392346,0.0054606241174042225,0.00018964869377668947,0.9652610421180725,0.9942634701728821,0.9975813627243042,0.00023120651894714683,0.026966694742441177,0.016657644882798195,0.9652611017227173
phc-u373,ncc2,0.39018958806991577,0.11453378945589066,0.36155620217323303,0.9650294780731201,0.9942172169685364,0.9459521770477295,0.007078886963427067,0.29190370440483093,0.5063706636428833,0.9650294780731201
phc-u373,ncc2+supervised,0.4017881751060486,0.1085454598069191,0.3746517598628998,0.9685963988304138,0.9948223233222961,0.9493281245231628,0.005717653315514326,0.2825803756713867,0.4620625972747803,0.9685965180397034
phc-u373,nmi,-1.142878770828247,0.02200891822576523,-1.1483808755874634,0.9655072093009949,0.9943379163742065,0.9935995936393738,0.002960266312584281,0.11722250282764435,0.10018470883369446,0.9655072689056396
phc-u373,mind,0.055690523236989975,0.04695798456668854,0.04982077702879906,0.9652073383331299,0.9942803382873535,0.9843277931213379,0.0020321172196418047,0.24282866716384888,0.18700982630252838,0.9652073383331299
phc-u373,deepsim-ae,0.027107099071145058,0.039863839745521545,0.022124124690890312,0.9673610329627991,0.9946426153182983,0.9911460280418396,0.003549017244949937,0.1972482055425644,0.19899070262908936,0.9673610329627991
phc-u373,deepsim,0.027058182284235954,0.025271985679864883,0.023899180814623833,0.9679375886917114,0.9947583675384521,0.9912877678871155,0.00321974721737206,0.1815822571516037,0.09703779965639114,0.9679375886917114
